ID,DESCRITION,CREATION_DATE,PRIMARY1,PRIMARY2,FLAG1,FLAG2 ,BUSINESS_DATE,SUMVALUE1
343,Description93,2021-01-01,Primary193,Primary293,no,FALSE,2021-05-26,7
344,Description94,1982-10-01,Primary194,Primary294,no,TRUE,2021-05-26,2
345,Description95,2001-03-15,Primary195,Primary295,yes,FALSE,2021-05-26,5
346,Description96,1995-06-14,Primary196,Primary296,yes,FALSE,2021-05-26,14
347,Description97,2021-01-01,Primary197,Primary297,no,TRUE,2021-05-26,18
348,Description98,1982-10-01,Primary198,Primary298,yes,TRUE,2021-05-26,10
349,Description99,2001-03-15,Primary199,Primary299,yes,FALSE,2021-05-26,5
350,Description100,1995-06-14,Primary1100,Primary2100,no,TRUE,2021-05-26,0
351,Description101,2021-01-01,Primary1101,Primary2101,no,FALSE,2021-05-26,10
352,Description102,1982-10-01,Primary1102,Primary2102,yes,FALSE,2021-05-26,18
353,Description103,2001-03-15,Primary1103,Primary2103,yes,TRUE,2021-05-26,11
354,Description104,1995-06-14,Primary1104,Primary2104,no,TRUE,2021-05-26,9
355,Description105,2021-01-01,Primary1105,Primary2105,yes,FALSE,2021-05-26,4
356,Description106,1982-10-01,Primary1106,Primary2106,yes,TRUE,2021-05-26,13
357,Description107,2001-03-15,Primary1107,Primary2107,no,FALSE,2021-05-26,18
358,Description108,1995-06-14,Primary1108,Primary2108,no,FALSE,2021-05-26,7
359,Description109,2021-01-01,Primary1109,Primary2109,yes,TRUE,2021-05-26,11
360,Description110,1982-10-01,Primary1110,Primary2110,yes,TRUE,2021-05-26,1
361,Description111,2001-03-15,Primary1111,Primary2111,no,FALSE,2021-05-26,15
362,Description112,1995-06-14,Primary1112,Primary2112,yes,TRUE,2021-05-26,13
363,Description113,2021-01-01,Primary1113,Primary2113,yes,FALSE,2021-05-26,20
364,Description114,1982-10-01,Primary1114,Primary2114,no,FALSE,2021-05-26,10
365,Description115,2001-03-15,Primary1115,Primary2115,no,TRUE,2021-05-26,3
366,Description116,1995-06-14,Primary1116,Primary2116,yes,TRUE,2021-05-26,5
367,Description117,2021-01-01,Primary1117,Primary2117,yes,FALSE,2021-05-26,12
368,Description118,1982-10-01,Primary1118,Primary2118,no,TRUE,2021-05-26,10
369,Description119,2001-03-15,Primary1119,Primary2119,yes,FALSE,2021-05-26,3
370,Description120,1995-06-14,Primary1120,Primary2120,yes,FALSE,2021-05-26,6
371,Description121,2021-01-01,Primary1121,Primary2121,no,TRUE,2021-05-26,18
372,Description122,1982-10-01,Primary1122,Primary2122,no,TRUE,2021-05-26,12
373,Description123,2001-03-15,Primary1123,Primary2123,yes,FALSE,2021-05-26,16
374,Description124,1995-06-14,Primary1124,Primary2124,yes,TRUE,2021-05-26,11
375,Description125,2021-01-01,Primary1125,Primary2125,no,FALSE,2021-05-26,17
376,Description126,1982-10-01,Primary1126,Primary2126,yes,FALSE,2021-05-26,0
377,Description127,2001-03-15,Primary1127,Primary2127,yes,TRUE,2021-05-26,20
378,Description128,1995-06-14,Primary1128,Primary2128,no,TRUE,2021-05-26,15
379,Description129,2021-01-01,Primary1129,Primary2129,no,FALSE,2021-05-26,7
380,Description130,1982-10-01,Primary1130,Primary2130,yes,TRUE,2021-05-26,12
381,Description131,2001-03-15,Primary1131,Primary2131,yes,FALSE,2021-05-26,3
382,Description132,1995-06-14,Primary1132,Primary2132,no,FALSE,2021-05-26,10
383,Description133,2021-01-01,Primary1133,Primary2133,yes,TRUE,2021-05-26,16
384,Description134,1982-10-01,Primary1134,Primary2134,yes,TRUE,2021-05-26,19
385,Description135,2001-03-15,Primary1135,Primary2135,no,FALSE,2021-05-26,9
386,Description136,1995-06-14,Primary1136,Primary2136,no,TRUE,2021-05-26,2
387,Description137,2021-01-01,Primary1137,Primary2137,yes,FALSE,2021-05-26,3
388,Description138,1982-10-01,Primary1138,Primary2138,yes,FALSE,2021-05-26,1
389,Description139,2001-03-15,Primary1139,Primary2139,no,TRUE,2021-05-26,17
390,Description140,1995-06-14,Primary1140,Primary2140,yes,TRUE,2021-05-26,9
391,Description141,2021-01-01,Primary1141,Primary2141,yes,FALSE,2021-05-26,6
392,Description142,1982-10-01,Primary1142,Primary2142,no,TRUE,2021-05-26,4
393,Description143,2001-03-15,Primary1143,Primary2143,no,FALSE,2021-05-26,17
394,Description144,1995-06-14,Primary1144,Primary2144,yes,FALSE,2021-05-26,1.65
395,Description145,2021-01-01,Primary1145,Primary2145,yes,TRUE,2021-05-26,10
396,Description146,1982-10-01,Primary1146,Primary2146,no,TRUE,2021-05-26,8
397,Description147,2001-03-15,Primary1147,Primary2147,yes,FALSE,2021-05-26,18
398,Description148,1995-06-14,Primary1148,Primary2148,yes,TRUE,2021-05-26,15
399,Description149,2021-01-01,Primary1149,Primary2149,no,FALSE,2021-05-26,8
400,Description150,1982-10-01,Primary1150,Primary2150,no,FALSE,2021-05-26,17
401,Description151,2001-03-15,Primary1151,Primary2151,yes,TRUE,2021-05-26,6
402,Description152,1995-06-14,Primary1152,Primary2152,yes,TRUE,2021-05-26,16
403,Description153,2021-01-01,Primary1153,Primary2153,no,FALSE,2021-05-26,7
404,Description154,1982-10-01,Primary1154,Primary2154,yes,TRUE,2021-05-26,3
405,Description155,2001-03-15,Primary1155,Primary2155,yes,FALSE,2021-05-26,0
406,Description156,1995-06-14,Primary1156,Primary2156,no,FALSE,2021-05-26,18
407,Description157,2021-01-01,Primary1157,Primary2157,no,TRUE,2021-05-26,16
408,Description158,1982-10-01,Primary1158,Primary2158,yes,TRUE,2021-05-26,17
409,Description159,2001-03-15,Primary1159,Primary2159,yes,FALSE,2021-05-26,15
410,Description160,1995-06-14,Primary1160,Primary2160,no,TRUE,2021-05-26,4
411,Description161,2021-01-01,Primary1161,Primary2161,yes,FALSE,2021-05-26,15
412,Description162,1982-10-01,Primary1162,Primary2162,yes,FALSE,2021-05-26,18
413,Description163,2001-03-15,Primary1163,Primary2163,no,TRUE,2021-05-26,5
414,Description164,1995-06-14,Primary1164,Primary2164,no,TRUE,2021-05-26,17
415,Description165,2021-01-01,Primary1165,Primary2165,yes,FALSE,2021-05-26,19
416,Description166,1982-10-01,Primary1166,Primary2166,yes,TRUE,2021-05-26,14
417,Description167,2001-03-15,Primary1167,Primary2167,no,FALSE,2021-05-26,9
418,Description168,1995-06-14,Primary1168,Primary2168,yes,FALSE,2021-05-26,13
419,Description169,2021-01-01,Primary1169,Primary2169,yes,TRUE,2021-05-26,11
420,Description170,1982-10-01,Primary1170,Primary2170,no,TRUE,2021-05-26,0
421,Description171,2001-03-15,Primary1171,Primary2171,no,FALSE,2021-05-26,3
422,Description172,1995-06-14,Primary1172,Primary2172,yes,TRUE,2021-05-26,12
423,Description173,2021-01-01,Primary1173,Primary2173,yes,FALSE,2021-05-26,13
424,Description174,1982-10-01,Primary1174,Primary2174,no,FALSE,2021-05-26,17
425,Description175,2001-03-15,Primary1175,Primary2175,yes,TRUE,2021-05-26,1
426,Description176,1995-06-14,Primary1176,Primary2176,yes,TRUE,2021-05-26,9
427,Description177,2021-01-01,Primary1177,Primary2177,no,FALSE,2021-05-26,11
428,Description178,1982-10-01,Primary1178,Primary2178,no,TRUE,2021-05-26,17
429,Description179,2001-03-15,Primary1179,Primary2179,yes,FALSE,2021-05-26,0
430,Description180,1995-06-14,Primary1180,Primary2180,yes,FALSE,2021-05-26,6
431,Description181,2021-01-01,Primary1181,Primary2181,no,TRUE,2021-05-26,13
432,Description182,1982-10-01,Primary1182,Primary2182,yes,TRUE,2021-05-26,14
433,Description183,2001-03-15,Primary1183,Primary2183,yes,FALSE,2021-05-26,19
434,Description184,1995-06-14,Primary1184,Primary2184,no,TRUE,2021-05-26,7
435,Description185,2021-01-01,Primary1185,Primary2185,no,FALSE,2021-05-26,20
436,Description186,1982-10-01,Primary1186,Primary2186,yes,FALSE,2021-05-26,0
437,Description187,2001-03-15,Primary1187,Primary2187,yes,TRUE,2021-05-26,12
438,Description188,1995-06-14,Primary1188,Primary2188,no,TRUE,2021-05-26,5
439,Description189,2021-01-01,Primary1189,Primary2189,yes,FALSE,2021-05-26,15
440,Description190,1982-10-01,Primary1190,Primary2190,yes,TRUE,2021-05-26,16
441,Description191,2001-03-15,Primary1191,Primary2191,no,FALSE,2021-05-26,5
442,Description192,1995-06-14,Primary1192,Primary2192,no,FALSE,2021-05-26,16
443,Description193,2021-01-01,Primary1193,Primary2193,yes,TRUE,2021-05-26,1
444,Description194,1982-10-01,Primary1194,Primary2194,yes,TRUE,2021-05-26,11
445,Description195,2001-03-15,Primary1195,Primary2195,no,FALSE,2021-05-26,11
446,Description196,1995-06-14,Primary1196,Primary2196,yes,TRUE,2021-05-26,7
447,Description197,2021-01-01,Primary1197,Primary2197,yes,FALSE,2021-05-26,18
448,Description198,1982-10-01,Primary1198,Primary2198,no,FALSE,2021-05-26,1
449,Description199,2001-03-15,Primary1199,Primary2199,no,TRUE,2021-05-26,1
450,Description200,1995-06-14,Primary1200,Primary2200,yes,TRUE,2021-05-26,9
451,Description201,2021-01-01,Primary1201,Primary2201,yes,FALSE,2021-05-26,8
452,Description202,1982-10-01,Primary1202,Primary2202,no,TRUE,2021-05-26,16
453,Description203,2001-03-15,Primary1203,Primary2203,yes,FALSE,2021-05-26,18
454,Description204,1995-06-14,Primary1204,Primary2204,yes,FALSE,2021-05-26,4
455,Description205,2021-01-01,Primary1205,Primary2205,no,TRUE,2021-05-26,2
456,Description206,1982-10-01,Primary1206,Primary2206,no,TRUE,2021-05-26,20
457,Description207,2001-03-15,Primary1207,Primary2207,yes,FALSE,2021-05-26,11
458,Description208,1995-06-14,Primary1208,Primary2208,yes,TRUE,2021-05-26,17
459,Description209,2021-01-01,Primary1209,Primary2209,no,FALSE,2021-05-26,16
460,Description210,1982-10-01,Primary1210,Primary2210,yes,FALSE,2021-05-26,20
461,Description211,2001-03-15,Primary1211,Primary2211,yes,TRUE,2021-05-26,13
462,Description212,1995-06-14,Primary1212,Primary2212,no,TRUE,2021-05-26,11
463,Description213,2021-01-01,Primary1213,Primary2213,no,FALSE,2021-05-26,10
464,Description214,1982-10-01,Primary1214,Primary2214,yes,TRUE,2021-05-26,19
465,Description215,2001-03-15,Primary1215,Primary2215,yes,FALSE,2021-05-26,3
466,Description216,1995-06-14,Primary1216,Primary2216,no,FALSE,2021-05-26,0
467,Description217,2021-01-01,Primary1217,Primary2217,yes,TRUE,2021-05-26,14
468,Description218,1982-10-01,Primary1218,Primary2218,yes,TRUE,2021-05-26,2
469,Description219,2001-03-15,Primary1219,Primary2219,no,FALSE,2021-05-26,17
470,Description220,1995-06-14,Primary1220,Primary2220,no,TRUE,2021-05-26,3
471,Description221,2021-01-01,Primary1221,Primary2221,yes,FALSE,2021-05-26,3
472,Description222,1982-10-01,Primary1222,Primary2222,yes,FALSE,2021-05-26,12
473,Description223,2001-03-15,Primary1223,Primary2223,no,TRUE,2021-05-26,16
474,Description224,1995-06-14,Primary1224,Primary2224,yes,TRUE,2021-05-26,20
475,Description225,2021-01-01,Primary1225,Primary2225,yes,FALSE,2021-05-26,3
476,Description226,1982-10-01,Primary1226,Primary2226,no,TRUE,2021-05-26,17
477,Description227,2001-03-15,Primary1227,Primary2227,no,FALSE,2021-05-26,19
478,Description228,1995-06-14,Primary1228,Primary2228,yes,FALSE,2021-05-26,11
479,Description229,2021-01-01,Primary1229,Primary2229,yes,TRUE,2021-05-26,12
480,Description230,1982-10-01,Primary1230,Primary2230,no,TRUE,2021-05-26,17
481,Description231,2001-03-15,Primary1231,Primary2231,yes,FALSE,2021-05-26,15
482,Description232,1995-06-14,Primary1232,Primary2232,yes,TRUE,2021-05-26,4
483,Description233,2021-01-01,Primary1233,Primary2233,no,FALSE,2021-05-26,13
484,Description234,1982-10-01,Primary1234,Primary2234,no,FALSE,2021-05-26,2
485,Description235,2001-03-15,Primary1235,Primary2235,yes,TRUE,2021-05-26,17
486,Description236,1995-06-14,Primary1236,Primary2236,yes,TRUE,2021-05-26,11
487,Description237,2021-01-01,Primary1237,Primary2237,no,FALSE,2021-05-26,10
488,Description238,1982-10-01,Primary1238,Primary2238,yes,TRUE,2021-05-26,16
489,Description239,2001-03-15,Primary1239,Primary2239,yes,FALSE,2021-05-26,15
490,Description240,1995-06-14,Primary1240,Primary2240,no,FALSE,2021-05-26,18
491,Description241,2021-01-01,Primary1241,Primary2241,no,TRUE,2021-05-26,15
492,Description242,1982-10-01,Primary1242,Primary2242,yes,TRUE,2021-05-26,0
493,Description243,2001-03-15,Primary1243,Primary2243,yes,FALSE,2021-05-26,10
494,Description244,1995-06-14,Primary1244,Primary2244,no,TRUE,2021-05-26,11
495,Description245,2021-01-01,Primary1245,Primary2245,yes,FALSE,2021-05-26,2
496,Description246,1982-10-01,Primary1246,Primary2246,yes,FALSE,2021-05-26,13
497,Description247,2001-03-15,Primary1247,Primary2247,no,TRUE,2021-05-26,12
498,Description248,1995-06-14,Primary1248,Primary2248,no,TRUE,2021-05-26,12
499,Description249,2021-01-01,Primary1249,Primary2249,yes,FALSE,2021-05-26,15
500,Description250,1982-10-01,Primary1250,Primary2250,yes,TRUE,2021-05-26,19
